category,brand,name,price_eur,rating_count,specs,image_url
CPU,Intel,Intel Core Ultra 7 270K Plus,323.08,0,"{""Core Count"":""24"",""Integrated Graphics"":""Intel Xe"",""Microarchitecture"":""Arrow Lake"",""Performance Core Boost Clock"":""5.4 GHz"",""Performance Core Clock"":""3.7 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c4b5624c89e3de4ef9eef2f2a3ae262d.256p.jpg
CPU,Intel,Intel Core i7-14700K,379.54,49,"{""Core Count"":""20"",""Integrated Graphics"":""Intel UHD Graphics 770"",""Microarchitecture"":""Raptor Lake Refresh"",""Performance Core Boost Clock"":""5.6 GHz"",""Performance Core Clock"":""3.4 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg
CPU,Intel,Intel Core i5-12400F,164.98,106,"{""Core Count"":""6"",""Integrated Graphics"":""None"",""Microarchitecture"":""Alder Lake"",""Performance Core Boost Clock"":""4.4 GHz"",""Performance Core Clock"":""2.5 GHz"",""TDP"":""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg
CPU,Intel,Intel Core i9-14900K,459.9,41,"{""Core Count"":""24"",""Integrated Graphics"":""Intel UHD Graphics 770"",""Microarchitecture"":""Raptor Lake Refresh"",""Performance Core Boost Clock"":""6 GHz"",""Performance Core Clock"":""3.2 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg
CPU,Intel,Intel Core Ultra 9 285K,569.97,11,"{""Core Count"":""24"",""Integrated Graphics"":""Intel Xe"",""Microarchitecture"":""Arrow Lake"",""Performance Core Boost Clock"":""5.7 GHz"",""Performance Core Clock"":""3.7 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/d658fbb8695607dc4964431e6b6b9373.256p.jpg
CPU,Intel,Intel Core i5-12600KF,182.48,98,"{""Core Count"":""10"",""Integrated Graphics"":""None"",""Microarchitecture"":""Alder Lake"",""Performance Core Boost Clock"":""4.9 GHz"",""Performance Core Clock"":""3.7 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg
CPU,Intel,Intel Core Ultra 5 250K Plus,224.09,1,"{""Core Count"":""18"",""Integrated Graphics"":""Intel Xe"",""Microarchitecture"":""Arrow Lake"",""Performance Core Boost Clock"":""5.3 GHz"",""Performance Core Clock"":""4.2 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/47414c72d8bdf9fe8b6e94a257f722cb.256p.jpg
CPU,Intel,Intel Core Ultra 7 265K,322.32,27,"{""Core Count"":""20"",""Integrated Graphics"":""Intel Xe"",""Microarchitecture"":""Arrow Lake"",""Performance Core Boost Clock"":""5.5 GHz"",""Performance Core Clock"":""3.9 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/19fb12d5828d3ae540e91eefa4160b79.256p.jpg
CPU,Intel,Intel Core i5-14400F,179.99,2,"{""Core Count"":""10"",""Integrated Graphics"":""None"",""Microarchitecture"":""Raptor Lake Refresh"",""Performance Core Boost Clock"":""4.7 GHz"",""Performance Core Clock"":""2.5 GHz"",""TDP"":""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/1a89e55daad13315da1822c1630dc26c.256p.jpg
CPU,Intel,Intel Core i7-12700KF,279.08,68,"{""Core Count"":""12"",""Integrated Graphics"":""None"",""Microarchitecture"":""Alder Lake"",""Performance Core Boost Clock"":""5 GHz"",""Performance Core Clock"":""3.6 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg
CPU,Intel,Intel Core Ultra 7 265KF,240.99,8,"{""Core Count"":""20"",""Integrated Graphics"":""None"",""Microarchitecture"":""Arrow Lake"",""Performance Core Boost Clock"":""5.5 GHz"",""Performance Core Clock"":""3.9 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/fcf1376b4011b81307f2eb83fb68d582.256p.jpg
CPU,Intel,Intel Core i5-14600K,260.94,28,"{""Core Count"":""14"",""Integrated Graphics"":""Intel UHD Graphics 770"",""Microarchitecture"":""Raptor Lake Refresh"",""Performance Core Boost Clock"":""5.3 GHz"",""Performance Core Clock"":""3.5 GHz"",""TDP"":""125 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg
