category,brand,name,price,rating_count,specs,image_url
CPU,AMD,AMD Ryzen 7 9800X3D,575600,423,"{""Core Clock"": ""4.7 GHz"", ""Boost Clock"": ""5.2 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 5"", ""TDP"": ""120 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
CPU,AMD,AMD Ryzen 7 7800X3D,528300,648,"{""Core Clock"": ""4.2 GHz"", ""Boost Clock"": ""5 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 4"", ""TDP"": ""120 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg
CPU,AMD,AMD Ryzen 5 9600X,268500,126,"{""Core Clock"": ""3.9 GHz"", ""Boost Clock"": ""5.4 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 5"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/8a0df381931efb7323f458cfc42260f8.256p.jpg
CPU,AMD,AMD Ryzen 5 7600X,242100,350,"{""Core Clock"": ""4.7 GHz"", ""Boost Clock"": ""5.3 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 4"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg
CPU,AMD,AMD Ryzen 5 5600,210300,192,"{""Core Clock"": ""3.5 GHz"", ""Boost Clock"": ""4.4 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 3"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg
CPU,AMD,AMD Ryzen 7 7700X,333500,218,"{""Core Clock"": ""4.5 GHz"", ""Boost Clock"": ""5.4 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 4"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg
CPU,AMD,AMD Ryzen 5 5600X,238300,725,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": ""4.6 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 3"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg
CPU,AMD,AMD Ryzen 7 9700X,410800,116,"{""Core Clock"": ""3.8 GHz"", ""Boost Clock"": ""5.5 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 5"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/a0f5a161d8c7ff3c6b0827423537a029.256p.jpg
CPU,AMD,AMD Ryzen 7 5800X,302500,360,"{""Core Clock"": ""3.8 GHz"", ""Boost Clock"": ""4.7 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 3"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg
CPU,AMD,AMD Ryzen 7 5700X,220000,130,"{""Core Clock"": ""3.4 GHz"", ""Boost Clock"": ""4.6 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 3"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg
CPU,Intel,Intel Core i5-12400F,244200,106,"{""Core Clock"": ""2.5 GHz"", ""Boost Clock"": ""4.4 GHz"", ""Socket"": ""LGA1700"", ""Core Count"": ""6"", ""Microarchitecture"": ""Alder Lake"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg
CPU,AMD,AMD Ryzen 5 3600,222000,1194,"{""Core Clock"": ""3.6 GHz"", ""Boost Clock"": ""4.2 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 2"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg
CPU,AMD,AMD Ryzen 5 7600,256700,202,"{""Core Clock"": ""3.8 GHz"", ""Boost Clock"": ""5.1 GHz"", ""Socket"": ""AM5"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen 4"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/f0d757d712dd7145ecf00152653e5ec1.256p.jpg
